 
                                                                                                                                                                                                                                                                
 
gvkey     datadate     fyear    cik
003502    20151231      2015    0000024491
003504    20151031      2015    0000711404
003505    20151231      2015    0000024545
003532    20151231      2015    0000024741
003562    20151231      2015    0000025232
003562    20151231      2015    0000025232
003570    20150731      2015    0001067294
003580    20151231      2015    0000025445
003581    20151231      2015    0000025475
003592    20151231      2015    0001584207
003607    20151231      2015    0001091862
003619    20151231      2015    0001219601
003622    20160331      2015    0000025895
003639    20150930      2015    0000026076
003643    20151231      2015    0000039263
003643    20151231      2015    0000039263
003647    20160430      2015    0000723603
003650    20151231      2015    0000026172
003662    20151231      2015    0000026324
003707    20151231      2015    0000714603
003708    20151231      2015    0000030697
003734    20151231      2015    0000026780
003735    20151231      2015    0000313616
003761    20151231      2015    0000351998
003785    20160430      2015    0000027093
003806    20151231      2015    0000799165
003813    20160131      2015    0000027419
003835    20151031      2015    0000315189
003851    20151231      2015    0000027904
003855    20150630      2015    0000277375
003863    20151231      2015    0000027996
003897    20151231      2015    0000936340
003905    20150630      2015    0000730464
003937    20160331      2015    0000939930
003946    20151231      2015    0000028823
003962    20151231      2015    0000722313
003964    20160131      2015    0000028917
003969    20151231      2015    0000029002
003980    20150930      2015    0001001039
004001    20151231      2015    0000029332
004016    20160131      2015    0000029534
004029    20151231      2015    0000715957
004036    20150731      2015    0000029644
004040    20151231      2015    0000029669
004045    20151231      2015    0001172358
004058    20151231      2015    0000029905
004060    20151231      2015    0001666700
004066    20151231      2015    0000029989
004072    20150731      2015    0001498301
004087    20151231      2015    0000030554
004091    20151231      2015    0000030305
004093    20151231      2015    0001326160
004094    20151231      2015    0001115222
004108    20151231      2015    0000030625
004115    20150731      2015    0000067215
004124    20150630      2015    0000720875
004130    20150930      2015    0000030831
004145    20151231      2015    0000031791
004156    20151231      2015    0000350846
004186    20151231      2015    0000031107
004193    20151231      2015    0000049600
004193    20151231      2015    0000049600
004194    20151231      2015    0000031235
004199    20151231      2015    0001551182
004201    20151031      2015    0000350797
004201    20151031      2015    0000350797
004213    20151231      2015    0000031462
004225    20160229      2015    0000031667
004241    20151231      2015    0000031978
004273    20160531      2015    0000032166
004274    20160331      2015    0000726514
004275    20151231      2015    0000351789
004321    20150930      2015    0000032604
004322    20160331      2015    0000032621
004331    20151231      2015    0000032689
004341    20151231      2015    0000714284
004351    20151231      2015    0000277595
004367    20151231      2015    0001603923
004383    20150930      2015    0000731802
004384    20151231      2015    0001507605
004390    20160229      2015    0000033002
004409    20151231      2015    0000727510
004418    20150731      2015    0000316253
004423    20151231      2015    0000033185
004430    20151231      2015    0000033213
004448    20151231      2015    0000033488
004450    20150630      2015    0000033533
004460    20150930      2015    0000033619
004462    20151231      2015    0001282637
004476    20160331      2015    0000753568
004485    20151231      2015    0000033992
004485    20151231      2015    0000033992
004494    20151231      2015    0000746515
004497    20151231      2015    0000034067
004498    20150930      2015    0000764401
004503    20151231      2015    0000034088
004510    20151231      2015    0000037785
004517    20151231      2015    0000753308
004579    20150630      2015    0000034563
004598    20160531      2015    0001048911
004600    20151231      2015    0001419581
004605    20151231      2015    0000034903
004605    20151231      2015    0000034903
004608    20151231      2015    0000277509
004611    20160131      2015    0000794367
004622    20151231      2015    0000035214
004632    20151231      2015    0000320017
004640    20151231      2015    0000035527
004640    20151231      2015    0000035527
004674    20151231      2015    0001281761
004674    20151231      2015    0001281761
004678    20151231      2015    0000354869
004678    20151231      2015    0000354869
004685    20151231      2015    0000036146
004685    20151231      2015    0000036146
004690    20151231      2015    0000798941
004690    20151231      2015    0000798941
004699    20151231      2015    0000036270
004699    20151231      2015    0000036270
004723    20151231      2015    0000036104
004723    20151231      2015    0000036104
004737    20151231      2015    0000036966
004737    20151231      2015    0000036966
004740    20151231      2015    0000037008
004740    20151231      2015    0000037008
004759    20150930      2015    0000012040
004771    20150630      2015    0000037472
004809    20151231      2015    0001128928
004818    20151231      2015    0001124198
004826    20150630      2015    0000355019
004839    20151231      2015    0000037996
004842    20151231      2015    0001647509
004842    20151231      2015    0001647509
004860    20151231      2015    0000352825
004881    20151231      2015    0000038725
004885    20150930      2015    0000038777
